	weight	source	target	type
28	8	#parm	#semp	undirected
46	7	#cele	#parm	undirected
5	7	#cali	#parm	undirected
8	7	#cali	#semp	undirected
53	7	#lucr	#meli	undirected
21	7	#cele	#semp	undirected
45	6	#cele	#elic	undirected
2	5	#areu	#elic	undirected
23	5	#elic	#semp	undirected
22	5	#elic	#parm	undirected
50	5	#cali	#cele	undirected
36	4	#cele	#meli	undirected
11	4	#alis	#meli	undirected
15	4	#cali	#meli	undirected
13	4	#cele	#lucr	undirected
43	4	#alis	#lucr	undirected
12	3	#cali	#lucr	undirected
9	3	#sosi	#tris	undirected
26	3	#alis	#pleb	undirected
58	3	#cali	#tris	undirected
0	3	#meli	#pleb	undirected
55	3	#lucr	#pleb	undirected
41	3	#areu	#parm	undirected
52	3	#alis	#cele	undirected
38	3	#cali	#elic	undirected
51	3	#cali	#sosi	undirected
14	2	#areu	#cele	undirected
32	2	#lucr	#sosi	undirected
31	2	#areu	#cent	undirected
10	2	#lucr	#tris	undirected
27	2	#lucr	#semp	undirected
1	2	#meli	#sosi	undirected
54	2	#elic	#lucr	undirected
34	2	#lucr	#parm	undirected
20	2	#areu	#semp	undirected
6	2	#meli	#parm	undirected
42	2	#elic	#meli	undirected
24	2	#meli	#tris	undirected
40	2	#meli	#semp	undirected
39	2	#cent	#elic	undirected
19	1	#cele	#crit	undirected
44	1	#crit	#parm	undirected
25	1	#cele	#pleb	undirected
35	1	#crit	#meli	undirected
57	1	#areu	#lucr	undirected
30	1	#cali	#crit	undirected
33	1	#alis	#semp	undirected
16	1	#areu	#cali	undirected
17	1	#elic	#pleb	undirected
4	1	#alis	#elic	undirected
47	1	#pleb	#semp	undirected
48	1	#crit	#semp	undirected
18	1	#elic	#sosi	undirected
37	1	#areu	#sosi	undirected
3	1	#alis	#parm	undirected
7	1	#parm	#pleb	undirected
49	1	#cali	#pleb	undirected
56	1	#crit	#elic	undirected
29	1	#alis	#cali	undirected
